averageScore
23448
23399
22924
22434
22603
22434
22505
22617
22788
22382
22622
22393
22473
22662
22371
22502
22359
22482
22599
22379
22620
22371
22454
22306
22358
22170
22031
22169
21986
22081
21970
22232
21955
22205
21789
21992
21789
21934
21789
21907
22004
21789
21920
21789
21952
22045
21788
21989
21788
21949
21788
21955
21788
21851
22177
21782
21920
21782
21925
22026
21764
21945
21764
21910
22028
21762
22006
21763
22008
21772
21857
21770
21994
21779
21973
21743
21888
21760
21896
21760
21967
21760
21940
21760
21885
21760
21966
21760
21990
21760
21888
21760
21960
21760
21990
21761
21913
21761
21906
21761
21892
21761
21966
22028
21769
21919
21757
21840
22032
21757
21882
22022
21769
21918
21769
21929
21709
21802
21709
21866
22002
21673
21791
21636
21895
21533
21508
21217
21149
21472
20946
20732
20540
20777
20265
20381
20096
20288
20096
20222
20284
20096
20392
20096
20291
20096
20251
20096
20234
20096
20337
20096
20260
20096
20181
20339
20096
20275
20096
20267
20096
20310
20434
20099
20355
20099
20287
20389
20095
20307
20095
20385
20095
20307
20095
20306
20095
20400
20095
20379
20095
20361
20095
20321
20095
20296
20095
20286
20095
20382
20095
20370
20095
20391
20095
20375
20095
20168
20595
20099
20170
20455
20099
20271
20099
20420
20099
20317
20099
20350
20089
20338
20089
20252
20089
20211
20089
20310
20089
20211
20089
20299
20089
20563
20097
20153
20410
20096
20216
20548
20097
20447
20096
20412
20096
20370
20096
20290
20096
20293
20096
20259
20096
20362
20096
20289
20096
20336
20096
20350
20096
20260
20096
20356
20096
20390
20096
20261
20096
20182
20559
20097
20235
20096
20310
20096
20373
20096
20336
20096
20385
20096
20229
20096
20308
20096
20318
20096
20261
20096
20408
20096
20399
20096
20269
20096
20348
20096
20391
20096
20335
20106
20233
20521
20106
20238
20106
20287
20106
20357
20107
20312
20107
20332
20107
20360
20107
20335
20107
20309
20107
20288
20107
20402
20107
20359
20107
20349
20107
20232
20107
20221
20107
20387
20107
20263
20107
20311
20107
20270
20107
20505
20107
20280
20107
20293
20107
20403
20107
20281
20107
20317
20107
20438
20107
20345
20107
20431
20107
20322
20107
20384
20107
20258
20107
20360
20107
20312
20107
20305
20107
20383
20107
20360
20107
20205
20568
20107
20372
20107
20518
20107
20355
20107
20330
20107
20399
20107
20356
20107
20462
20107
20454
20107
20325
20107
20290
20107
20383
20107
20303
20107
20418
20107
20321
20107
20368
20107
20344
20107
20418
20107
20408
20107
20399
20107
20479
20107
20325
20107
20410
20107
20237
20107
20494
20107
20485
20107
20335
20107
20326
20107
20296
20107
20364
20107
20336
20107
20262
20107
20336
20107
20391
20107
20441
20107
20282
20107
20402
20107
20522
20107
20299
20107
20365
20107
20427
20107
20308
20107
20347
20107
20432
20107
20305
20107
20448
20107
20271
20107
20355
20107
20395
20107
20360
20107
20284
20107
20257
20107
20518
20107
20498
20107
20279
20107
20427
20107
20308
20107
20294
20107
20316
20107
20323
20107
20297
20107
20434
20107
20461
20107
20391
20107
20312
20107
20297
20107
20286
20107
20440
20107
20270
20520
20107
20236
20713
20107
20348
20107
20376
20107
20252
20107
20423
20107
20308
20107
20275
20107
20350
20107
20519
20107
20375
20107
20363
20107
20378
20107
20424
20107
20393
20107
20357
20107
20324
20107
20348
20107
20208
20458
20107
20360
20107
20434
20107
20436
20107
20310
20107
20270
20107
20242
20107
20262
20107
20455
20107
20351
20107
20483
20107
20299
20107
20340
20107
20495
20107
20353
20107
20257
20511
20107
20440
20107
20446
20107
20332
20107
20327
20107
20278
20107
20413
20107
20266
20107
20382
20107
20262
20107
20391
20105
20343
20105
20320
20105
20285
20105
20425
20105
20336
20105
20420
20105
20482
20105
20298
20105
20373
20105
20379
20105
20275
20102
20352
20102
20269
20102
20412
20102
20392
20104
20240
20612
20104
20336
20104
20325
20104
20242
20441
20104
20300
20104
20225
20512
20104
20382
20104
20355
20104
20390
